,Over_All,ball_skills,physical,defence,GK,mental,shooting,passing,hight,wight,age,value
Benjamin Bourigeaud,78,77.5,73.0,65.5,12.4,76.16666666666670,74.0,79.33333333333330,178,68,27,16000000
Alexey Miranchuk,78,80.0,72.14285714285710,25.0,10.4,64.66666666666670,68.625,75.0,182,67,25,17500000
Frank Fabra,78,78.0,81.42857142857140,69.5,10.2,73.66666666666670,55.875,73.33333333333330,174,86,30,12000000
Adama Traoré,78,87.5,87.0,37.5,10.4,63.5,57.125,67.66666666666670,178,72,25,18500000
Helton Leite,78,15.0,52.142857142857100,11.5,75.4,29.5,17.0,19.666666666666700,196,92,30,10500000
Puertas,78,78.0,76.0,41.5,12.0,70.16666666666670,67.75,74.0,183,77,29,14000000
Jonathan Tah,78,58.0,63.714285714285700,81.0,9.8,64.16666666666670,35.875,56.0,195,98,25,17500000
Tyrone Mings,78,67.5,67.28571428571430,78.5,10.4,70.66666666666670,48.25,72.66666666666670,196,77,28,14000000
Ricardo Esgaio,78,78.5,75.71428571428570,71.0,10.6,74.16666666666670,65.25,74.66666666666670,173,65,28,12500000
Nicolae Stanciu,78,79.0,75.0,58.0,11.2,72.66666666666670,75.625,79.66666666666670,170,63,28,14000000
Moussa Dembélé,78,73.5,78.0,26.5,9.8,67.0,73.0,56.666666666666700,183,79,25,20500000
John McGinn,78,79.0,76.71428571428570,72.0,11.2,74.0,67.375,75.66666666666670,178,68,26,16500000
Emerson,78,79.5,72.28571428571430,77.0,10.4,70.5,62.25,73.66666666666670,176,79,27,15000000
Marcel Halstenberg,78,73.0,70.28571428571430,77.0,12.8,71.5,71.5,73.0,188,87,30,12000000
Renato Steffen,78,78.5,80.28571428571430,46.5,11.0,67.66666666666670,72.5,73.33333333333330,170,65,29,14000000
Rachid Ghezzal,78,81.5,67.42857142857140,24.5,11.0,62.333333333333300,69.625,81.66666666666670,182,70,29,14000000
Nathan Aké,78,70.5,76.0,80.5,10.0,70.33333333333330,58.625,71.0,180,75,26,16500000
Clinton Mata,78,74.0,82.0,76.5,9.4,73.0,63.125,68.0,180,73,28,12500000
Jonas Hector,78,75.5,69.71428571428570,77.5,11.0,73.83333333333330,62.25,76.33333333333330,185,75,31,10000000
Romain Saïss,78,71.0,66.57142857142860,79.0,10.0,73.33333333333330,57.25,70.0,188,84,31,9500000
Bryan Cristante,78,78.0,65.0,75.5,3.8,74.83333333333330,69.375,76.66666666666670,186,80,26,17500000
Roberto Torres,78,77.5,68.57142857142860,66.0,10.4,76.16666666666670,74.25,78.33333333333330,178,72,32,11000000
Moi Gómez,78,79.5,69.0,58.5,9.8,68.0,67.875,78.0,176,73,27,15000000
Patrick Bamford,78,74.0,73.71428571428570,38.5,9.8,69.5,72.0,64.66666666666670,185,71,28,15000000
Amin Bella-Kotchap,78,86.0,70.28571428571430,41.0,13.0,69.0,61.5,71.66666666666670,168,70,28,15000000
Sebastián Sosa,78,21.0,55.714285714285700,17.5,75.8,41.333333333333300,20.375,28.0,179,79,35,2400000
Denis Suárez,78,80.5,68.85714285714290,63.5,9.6,71.83333333333330,68.5,79.33333333333330,178,66,27,16000000
Mário Rui,78,78.0,79.42857142857140,72.0,9.8,68.83333333333330,60.25,74.33333333333330,170,67,30,12000000
John Brooks,78,64.0,63.142857142857100,80.5,8.8,67.5,42.25,61.333333333333300,193,78,28,13500000
Damián Suárez,78,75.0,73.71428571428570,76.5,11.2,73.16666666666670,69.75,75.66666666666670,173,68,33,7500000
Héctor Bellerín,78,77.0,74.0,74.0,12.2,71.16666666666670,52.875,69.66666666666670,178,74,26,17000000
Pavel Kadeřábek,78,74.0,74.57142857142860,71.5,11.0,74.83333333333330,53.875,75.0,182,81,29,12500000
Jannik Vestergaard,78,51.5,49.42857142857140,78.5,12.6,69.33333333333330,53.625,64.33333333333330,199,96,29,13500000
Felipe Anderson,78,81.5,70.42857142857140,53.0,8.6,73.66666666666670,68.25,75.33333333333330,175,70,28,14000000
Matt Doherty,78,76.5,72.28571428571430,75.5,11.0,74.16666666666670,59.625,75.66666666666670,182,87,29,12500000
Djibril Sidibé,78,75.5,75.57142857142860,75.0,10.8,74.0,62.375,75.33333333333330,182,71,29,12500000
Stefan Ortega,78,29.0,54.714285714285700,20.5,78.0,44.833333333333300,22.125,37.666666666666700,185,88,28,12000000
Hans Vanaken,78,79.5,55.57142857142860,56.5,10.8,74.66666666666670,77.375,77.33333333333330,195,80,29,14000000
Lewis Dunk,78,67.5,56.142857142857100,79.5,11.6,67.5,54.75,60.666666666666700,192,88,29,13000000
Vitolo,78,79.0,71.42857142857140,44.5,13.0,65.5,72.875,76.0,185,79,31,11500000
Dennis Praet,78,80.5,67.57142857142860,62.5,9.2,73.66666666666670,69.25,78.0,181,78,27,15000000
Oriol Romeu,78,66.5,59.714285714285700,81.0,12.6,70.0,53.125,62.333333333333300,183,83,30,12000000
Domagoj Vida,78,57.5,74.57142857142860,80.0,11.2,67.33333333333330,45.25,62.333333333333300,184,76,32,9000000
Ross Barkley,78,81.5,66.85714285714290,57.0,10.2,72.83333333333330,70.375,76.33333333333330,189,76,27,16000000
Fredrik Midtsjø,78,76.5,77.0,71.5,11.4,75.83333333333330,61.0,78.66666666666670,176,70,28,15000000
Jonas Svensson,78,73.5,81.14285714285710,74.0,12.0,74.33333333333330,60.625,72.66666666666670,170,70,28,12500000
Dedryck Boyata,78,56.5,73.14285714285710,79.0,10.6,59.666666666666700,34.5,59.333333333333300,188,84,30,11500000
Willian José,78,77.5,66.71428571428570,36.0,13.6,70.33333333333330,74.25,59.666666666666700,189,91,29,14000000
Laguardia,78,52.5,59.57142857142860,81.0,11.6,67.66666666666670,44.375,58.333333333333300,185,80,31,9500000
Víctor Ruiz,78,61.5,61.57142857142860,79.0,9.2,66.83333333333330,51.375,67.0,185,78,32,9000000
Haris Seferović,78,72.5,74.14285714285710,45.0,11.2,71.33333333333330,74.125,65.66666666666670,189,85,29,14000000
Roberto Soriano,78,80.0,72.42857142857140,66.5,12.2,74.0,70.5,77.66666666666670,182,76,30,13500000
Jaume Costa,78,74.5,69.71428571428570,76.5,12.2,71.5,61.375,74.66666666666670,171,62,33,7500000
Kike García,78,77.0,65.0,39.5,10.0,71.5,70.0,61.0,186,79,31,12000000
Javier Pastore,78,82.0,59.285714285714300,48.0,10.2,68.33333333333330,70.625,77.0,187,78,32,11000000
Marwin Hitz,78,15.0,48.857142857142900,14.0,78.0,33.0,24.5,24.666666666666700,194,89,34,4600000
Chris Smalling,78,60.0,65.0,78.5,14.2,68.5,48.0,60.333333333333300,194,81,31,9500000
Julian Baumgartlinger,78,70.5,68.0,79.5,11.0,72.33333333333330,53.25,73.0,181,85,33,7000000
Pedro,78,84.5,72.0,38.0,10.4,69.83333333333330,67.0,75.0,169,65,34,9000000
Ashley Westwood,78,73.5,69.85714285714290,76.0,10.2,76.0,67.375,80.33333333333330,175,73,31,10000000
Giacomo Bonaventura,78,81.5,70.14285714285710,70.5,12.0,74.33333333333330,75.75,80.0,181,75,32,11500000
Francesco Caputo,78,77.0,78.71428571428570,30.0,10.6,60.833333333333300,71.625,59.333333333333300,181,74,34,9000000
Ante Budimir,78,78.5,62.0,32.0,12.8,60.666666666666700,65.625,46.333333333333300,190,75,30,14000000
Steven Nzonzi,78,72.5,56.57142857142860,76.5,13.6,74.33333333333330,57.5,69.66666666666670,196,89,32,9500000
Artem Dzyuba,78,75.0,65.14285714285710,21.0,11.4,70.33333333333330,73.875,65.0,196,91,33,
Cheikhou Kouyaté,78,70.5,70.28571428571430,78.0,10.6,74.5,58.375,62.333333333333300,189,83,31,9500000
Gaël Kakuta,78,83.0,77.71428571428570,38.5,10.6,67.16666666666670,72.875,74.66666666666670,173,72,30,13500000
Aleksandar Kolarov,78,76.0,66.14285714285710,78.0,12.2,77.66666666666670,79.75,80.0,187,81,35,4300000
Matteo Darmian,78,73.0,71.14285714285710,79.0,7.8,73.83333333333330,57.0,72.0,182,70,31,10000000
Moussa Sissoko,78,77.0,73.28571428571430,77.0,10.2,74.83333333333330,64.5,74.66666666666670,187,91,32,10000000
Séamus Coleman,78,76.5,69.57142857142860,79.5,10.0,76.33333333333330,63.0,74.33333333333330,177,77,32,9500000
Ruud Vormer,78,71.0,69.14285714285710,75.5,9.8,78.66666666666670,75.625,78.33333333333330,178,79,33,8500000
Etienne Capoue,78,76.5,59.285714285714300,77.0,12.0,76.83333333333330,69.0,75.33333333333330,190,80,33,11000000
Juan Mata,78,82.0,60.142857142857100,34.5,9.2,68.5,73.375,79.66666666666670,170,63,33,9000000
Miguel Veloso,78,78.5,63.285714285714300,63.5,11.0,72.83333333333330,74.125,83.66666666666670,180,79,35,5500000
Ángel,78,79.5,69.57142857142860,32.5,10.4,65.5,71.625,58.333333333333300,172,68,34,7000000
Alexandre Oukidja,78,14.5,54.285714285714300,15.5,76.4,36.166666666666700,21.125,21.333333333333300,184,80,33,7000000
Pedro León,78,80.0,56.57142857142860,48.0,12.8,68.33333333333330,74.125,87.33333333333330,183,73,34,6500000
Felipe Caicedo,78,78.0,71.14285714285710,38.0,9.0,71.5,74.375,68.0,183,82,33,11500000
Claudio Bravo,78,27.0,60.857142857142900,16.5,79.0,47.333333333333300,26.0,41.666666666666700,184,80,38,350000
Kevin-Prince Boateng,78,82.0,70.28571428571430,65.5,10.8,75.66666666666670,76.625,75.33333333333330,185,77,34,6500000
Cristian Ansaldi,78,78.0,72.57142857142860,74.0,11.4,74.83333333333330,63.625,77.66666666666670,181,76,35,5000000
Victor Moses,78,81.5,74.14285714285710,70.5,11.2,71.83333333333330,69.25,74.0,177,79,30,13500000
Andrés Guardado,78,79.0,72.42857142857140,74.5,9.6,75.5,70.25,78.33333333333330,169,67,35,4800000
Erik Lamela,78,82.5,67.71428571428570,51.0,11.4,75.66666666666670,76.25,77.33333333333330,184,80,29,14000000
Falcao,78,76.5,68.42857142857140,37.0,8.6,70.0,78.5,63.666666666666700,177,72,35,6000000
Laurent Koscielny,78,65.0,64.0,79.0,10.2,68.0,47.625,66.66666666666670,186,80,36,3700000
Ben Foster,78,19.5,49.714285714285700,18.5,76.8,38.333333333333300,23.5,27.666666666666700,193,90,38,350000
Fabio Quagliarella,78,80.5,66.71428571428570,28.0,5.2,64.83333333333330,80.5,72.0,180,79,38,4800000
Alfredo Talavera,78,15.5,59.0,19.5,76.4,42.666666666666700,22.375,28.333333333333300,186,85,39,350000
Ashley Güclü,78,77.5,70.71428571428570,73.0,14.4,75.33333333333330,70.0,73.66666666666670,175,65,36,4300000
Negredo,78,73.0,68.14285714285710,32.0,9.6,66.83333333333330,77.25,60.333333333333300,186,86,36,6000000
Pepe Reina,78,16.5,53.857142857142900,21.0,78.0,45.0,19.75,29.0,188,92,39,350000
Noni Madueke,77,84.0,78.28571428571430,37.0,10.2,61.0,65.625,66.66666666666670,182,70,19,23000000
Lukas Provod,77,77.0,77.85714285714290,70.5,10.2,76.66666666666670,73.375,76.66666666666670,189,84,24,16000000
Joey Veerman,77,79.5,66.57142857142860,63.0,9.4,71.16666666666670,66.75,80.66666666666670,185,75,22,17000000
Ali Musrati,77,70.5,63.857142857142900,74.5,9.0,71.66666666666670,51.375,71.0,189,83,25,13500000
Shon Weissman,77,71.0,73.71428571428570,26.5,8.6,66.0,72.375,63.0,174,79,25,15000000
Tomáš Holeš,77,72.0,79.71428571428570,77.5,9.0,75.5,65.5,72.33333333333330,180,73,28,10000000
Ibañez,77,56.5,73.85714285714290,79.5,9.4,61.166666666666700,39.0,45.666666666666700,185,73,22,22000000
Petr Ševčík,77,78.5,80.85714285714290,68.5,10.8,74.33333333333330,71.25,75.66666666666670,172,66,27,12000000
Jérémy Doku,77,82.0,83.0,25.0,10.0,61.666666666666700,55.625,66.33333333333330,171,60,19,23000000
Boulaye Dia,77,77.0,73.28571428571430,22.5,12.0,59.166666666666700,68.0,49.666666666666700,180,75,24,17000000
Arthur Cabral,77,74.5,75.42857142857140,27.0,10.8,62.5,68.625,60.0,186,89,23,23500000
Samuel Chukwueze,77,83.5,77.57142857142860,36.0,8.4,61.166666666666700,65.125,64.66666666666670,172,70,22,23500000
Giovanni Reyna,77,82.0,75.57142857142860,35.0,11.2,65.5,66.75,70.66666666666670,185,79,18,22000000
Luis Javier Suárez,77,73.0,78.57142857142860,37.0,8.8,66.83333333333330,71.25,65.33333333333330,185,74,23,23500000
Mohammed Kudus,77,81.5,84.14285714285710,63.5,8.4,70.66666666666670,62.75,69.66666666666670,177,70,21,23000000
Eric García,77,67.0,65.71428571428570,78.5,10.0,69.5,47.75,65.66666666666670,182,76,20,21500000
Sofiane Diop,77,82.0,69.85714285714290,57.0,10.6,71.66666666666670,64.5,70.66666666666670,175,65,21,21500000
Vinícius,77,77.0,66.71428571428570,38.5,10.8,71.5,68.75,56.333333333333300,190,83,26,14000000
Amir Rrahmani,77,61.5,64.14285714285710,80.0,9.6,63.666666666666700,48.375,57.666666666666700,192,83,27,12000000
Altay Bayındır,77,13.0,30.857142857142900,13.5,76.2,35.5,17.875,21.0,198,73,23,18000000
Borna Sosa,77,76.0,72.71428571428570,71.5,7.8,69.33333333333330,49.75,77.33333333333330,187,79,23,15000000
Dwight McNeil,77,80.5,72.71428571428570,55.5,12.0,67.16666666666670,67.125,76.66666666666670,183,70,21,17000000
Luis Romo,77,68.5,73.57142857142860,75.5,10.8,70.33333333333330,58.5,63.666666666666700,182,84,26,14000000
Illan Meslier,77,27.5,39.142857142857100,19.5,76.4,42.5,17.5,31.666666666666700,196,74,21,20500000
Anthony Nwakaeme,77,81.0,77.85714285714290,40.0,9.2,62.666666666666700,72.0,72.66666666666670,185,80,32,8500000
Rafael Leão,77,82.0,73.57142857142860,23.0,11.4,62.0,67.125,67.33333333333330,188,81,22,16000000
Mikkel Damsgaard,77,81.5,78.71428571428570,49.0,9.6,67.33333333333330,63.5,69.0,180,71,21,23000000
Patson Daka,77,75.0,83.85714285714290,21.0,7.8,59.833333333333300,68.0,60.0,183,71,22,21500000
Junior Firpo,77,73.0,73.14285714285710,73.0,9.8,73.0,58.25,73.0,184,78,25,13500000
Sandro Tonali,77,77.5,74.28571428571430,72.0,8.8,72.83333333333330,68.875,77.66666666666670,181,79,21,22500000
Gorosabel,77,72.0,72.71428571428570,75.0,9.8,67.16666666666670,49.0,73.66666666666670,174,70,25,15000000
Callum Hudson-Odoi,77,81.5,73.71428571428570,41.0,11.6,60.666666666666700,64.125,73.66666666666670,178,79,20,23000000
Roman Marcelo Djaló,77,73.5,72.57142857142860,43.0,12.4,67.0,68.5,70.66666666666670,191,79,25,14000000
Nicolás González,77,83.5,75.42857142857140,42.0,7.6,67.16666666666670,66.25,63.0,180,72,23,17000000
Fernando Gorriarán,77,76.0,77.28571428571430,74.0,9.2,74.16666666666670,66.375,75.33333333333330,168,68,26,12500000
Saša Kalajdžić,77,76.0,63.285714285714300,42.5,11.0,62.666666666666700,63.625,65.66666666666670,200,90,24,16000000
Galeno,77,82.5,78.71428571428570,28.5,11.6,66.66666666666670,64.625,62.333333333333300,179,62,23,21000000
Jonathan Clauss,77,76.0,77.42857142857140,68.0,13.4,69.66666666666670,60.25,71.0,178,67,29,9500000
Pepê,77,80.5,70.71428571428570,28.0,10.4,54.333333333333300,56.875,72.33333333333330,175,66,24,16000000
Wilson Manafá,77,74.5,78.0,70.5,8.0,72.0,58.125,66.33333333333330,177,69,27,11500000
Weston McKennie,77,76.5,80.14285714285710,75.5,9.6,77.33333333333330,70.0,73.0,183,84,23,16000000
Merih Demiral,77,58.0,70.71428571428570,80.5,10.4,61.166666666666700,44.625,49.666666666666700,190,86,23,15000000
Tyrell Malacia,77,74.5,80.85714285714290,74.0,9.2,66.0,51.375,68.66666666666670,169,67,22,15000000
Mady Camara,77,75.5,77.28571428571430,74.0,9.8,77.0,67.875,74.66666666666670,182,75,24,16000000
Martin Terrier,77,76.5,74.0,32.5,8.6,64.5,71.375,74.0,184,73,24,15500000
Dominik Szoboszlai,77,81.5,72.57142857142860,32.5,9.8,61.0,79.0,77.66666666666670,186,74,20,23000000
Xeka,77,78.0,65.57142857142860,71.0,6.8,74.33333333333330,64.375,72.66666666666670,186,83,26,12500000
Calvin Stengs,77,81.0,70.0,34.0,9.4,63.666666666666700,63.625,73.0,187,68,22,21500000
Robin Koch,77,64.5,67.0,79.0,8.8,69.33333333333330,41.125,61.666666666666700,191,83,25,19500000
Douglas Luiz,77,76.5,69.57142857142860,76.0,9.6,71.66666666666670,63.625,74.66666666666670,175,66,23,20000000
Mattéo Guendouzi,77,76.0,73.28571428571430,72.5,9.8,75.0,65.375,74.66666666666670,185,68,22,20000000
Alexis Claude-Maurice,77,79.0,79.0,70.0,13.6,71.66666666666670,69.75,73.33333333333330,175,64,23,16500000
Fabricio Bustos,77,76.0,79.42857142857140,70.5,10.8,77.5,56.625,72.33333333333330,167,66,25,13000000
Evan Ndicka,77,77.0,69.0,78.0,8.8,73.5,48.5,72.0,192,80,22,20000000
Marc Roca,77,74.5,61.0,73.0,10.4,72.0,58.375,77.66666666666670,184,77,24,14500000
Cengiz Ünder,77,81.5,70.28571428571430,38.0,9.2,59.0,72.5,72.66666666666670,173,66,24,13500000
Edson Álvarez,77,65.0,73.0,78.5,8.2,70.66666666666670,55.5,70.0,187,73,23,15500000
Eberechi Eze,77,81.0,75.28571428571430,46.5,11.0,66.83333333333330,65.0,71.66666666666670,178,67,23,16500000
Ibrahim Sangaré,77,70.0,73.14285714285710,76.5,8.8,74.16666666666670,64.625,69.33333333333330,191,77,23,20000000
Florian Müller,77,21.0,46.857142857142900,15.5,75.2,35.0,17.75,24.0,190,88,23,13000000
Kesler-Hayden Steffen,77,23.0,56.0,12.5,76.0,40.833333333333300,19.875,39.333333333333300,191,86,26,12000000
Salvi Sánchez,77,76.0,73.71428571428570,37.5,8.8,61.166666666666700,64.25,74.33333333333330,175,64,30,10000000
Valentin Rosier,77,75.5,80.0,73.5,10.0,70.16666666666670,53.5,69.0,175,75,25,15000000
Joakim Mæhle,77,73.5,79.42857142857140,67.5,10.0,70.16666666666670,52.375,72.33333333333330,185,79,24,15000000
Gedson Fernandes,77,80.0,76.42857142857140,72.0,9.0,76.33333333333330,67.875,74.33333333333330,181,71,22,17000000
Marcão,77,66.5,73.14285714285710,78.0,7.8,62.666666666666700,44.0,59.0,185,81,25,13000000
Luiz Araújo,77,81.5,73.28571428571430,37.5,9.8,64.16666666666670,66.5,69.0,175,70,25,14000000
Mrcela Soteldo,77,80.5,75.85714285714290,38.0,9.6,62.5,68.0,72.66666666666670,158,55,24,16500000
Luis Sinisterra,77,82.5,83.28571428571430,52.0,11.8,65.83333333333330,62.375,70.0,172,60,22,21500000
Tyler Adams,77,71.5,80.42857142857140,75.5,9.2,74.0,48.5,69.66666666666670,175,72,22,15500000
Junya Ito,77,76.0,82.14285714285710,57.5,10.4,72.5,63.75,71.66666666666670,176,66,28,10500000
Shoya Nakajima,77,80.5,74.71428571428570,34.5,8.2,67.83333333333330,67.375,67.66666666666670,165,67,27,11500000
Caio Henrique,77,76.5,71.0,74.0,9.8,71.66666666666670,58.125,75.33333333333330,179,70,24,14000000
Felix Uduokhai,77,59.0,67.57142857142860,80.5,9.8,63.333333333333300,41.25,55.0,193,89,24,14500000
Daniel James,77,74.5,78.14285714285710,49.5,9.6,66.16666666666670,64.25,69.0,171,76,23,16000000
Issa Diop,77,56.5,65.14285714285710,78.0,9.2,64.33333333333330,43.125,55.666666666666700,194,92,24,15000000
Rafa Mir,77,72.5,71.85714285714290,42.5,10.8,63.666666666666700,73.75,63.666666666666700,191,87,24,21500000
James Justin,77,73.5,73.42857142857140,75.0,9.0,68.16666666666670,52.125,70.0,183,80,23,15500000
Exequiel Palacios,77,78.0,69.42857142857140,74.5,7.6,73.66666666666670,65.875,75.0,177,67,22,17000000
Romain Perraud,77,74.5,72.42857142857140,73.5,9.4,75.16666666666670,70.5,75.33333333333330,173,68,24,15500000
Ludovic Blas,77,82.0,73.14285714285710,54.5,12.8,69.83333333333330,69.625,74.33333333333330,180,70,23,16500000
Miguel Almirón,77,79.5,72.14285714285710,54.0,10.6,71.0,67.875,72.0,174,70,27,12000000
Nahitan Nández,77,76.5,80.42857142857140,78.0,10.0,79.33333333333330,59.0,72.33333333333330,172,70,25,15500000
Ademola Lookman,77,81.5,77.0,25.0,10.8,64.16666666666670,63.875,66.0,174,71,23,16500000
Tino Kadewere,77,77.5,78.42857142857140,36.5,11.6,65.66666666666670,68.875,67.0,183,71,25,14000000
Sidney Pessinho,77,71.5,66.71428571428570,78.0,9.6,70.83333333333330,66.625,74.33333333333330,187,85,29,9000000
Muo Cadete,77,76.0,71.71428571428570,37.5,10.8,62.333333333333300,51.25,72.66666666666670,178,78,21,12500000
Nuno Padrenda,77,84.5,74.71428571428570,51.0,9.0,70.33333333333330,68.125,78.33333333333330,180,75,25,12000000
Vieirundinho,77,57.5,62.57142857142860,81.5,11.0,58.833333333333300,44.125,60.0,189,84,33,5000000
Victildinho,77,74.0,69.57142857142860,77.0,11.6,69.16666666666670,58.5,72.0,178,75,25,10500000
Rodrigo Vuarte,77,64.5,66.71428571428570,79.5,10.0,65.66666666666670,59.625,73.66666666666670,179,77,29,9000000
Jadsinho Mei,77,59.5,63.857142857142900,71.5,6.8,71.0,51.625,64.66666666666670,176,72,25,10500000
Andeson Trigo,77,74.5,76.71428571428570,75.0,11.0,73.16666666666670,67.25,74.0,175,68,33,5500000
Wagner Laranjo,77,76.0,69.14285714285710,74.5,11.2,71.66666666666670,70.375,74.0,177,77,37,2100000
Claudio Coíntra,77,75.5,75.42857142857140,22.5,11.8,66.16666666666670,71.25,74.66666666666670,174,71,25,11500000
Enzo Chissano,77,69.0,73.14285714285710,75.0,10.0,66.66666666666670,70.625,72.33333333333330,165,62,29,9500000
Alexo Baia,77,74.0,72.85714285714290,76.5,12.2,68.5,51.25,74.33333333333330,175,71,33,5500000
Lucas Mantela,77,20.0,51.285714285714300,17.0,75.8,40.5,21.875,20.0,183,77,21,9500000
Faitout Maouassa,77,75.0,79.42857142857140,73.5,8.4,72.16666666666670,62.125,72.33333333333330,170,73,23,13500000
Fabien Centonze,77,73.0,78.28571428571430,72.0,12.0,71.0,54.0,71.33333333333330,182,75,25,13000000
Axel Disasi,77,60.0,58.142857142857100,78.5,9.0,61.666666666666700,37.5,54.666666666666700,190,86,23,14500000
Georgiy Dzhikiya,77,63.5,72.71428571428570,80.0,12.6,69.66666666666670,55.625,63.333333333333300,188,86,27,11000000
Djibril Sow,77,76.5,76.71428571428570,76.0,8.4,76.0,63.875,77.66666666666670,184,77,24,14500000
Milot Rashica,77,82.0,74.71428571428570,46.0,9.6,68.66666666666670,73.0,70.33333333333330,177,73,25,15500000
Matheus Pereira,77,80.5,75.57142857142860,40.0,13.2,65.66666666666670,70.0,73.0,175,74,25,14500000
Rob Holding,77,66.0,65.0,79.5,12.4,67.0,38.125,62.666666666666700,189,75,26,13000000
Kyle Walker-Peters,77,75.5,74.0,75.0,9.4,69.83333333333330,40.0,71.0,174,64,24,15000000
Moussa Marega,77,65.0,77.85714285714290,39.5,11.2,69.16666666666670,67.875,60.0,183,83,30,10500000
Braian Romero,77,74.0,79.71428571428570,49.0,10.6,71.83333333333330,67.5,69.66666666666670,178,73,30,10500000
Melero,77,74.5,68.57142857142860,72.0,11.4,74.16666666666670,73.625,73.66666666666670,183,77,27,12000000
Soares,77,76.0,75.28571428571430,41.5,7.6,71.33333333333330,69.625,57.333333333333300,187,82,30,10500000
Agustín Rossi,77,23.5,46.42857142857140,24.0,75.8,40.833333333333300,24.625,28.333333333333300,195,95,26,12500000
Rubén Duarte,77,68.5,65.57142857142860,78.5,10.4,62.0,47.875,72.66666666666670,180,75,25,14500000
Benjamin Verbič,77,79.0,76.42857142857140,47.0,11.4,68.33333333333330,67.0,70.66666666666670,179,70,27,11000000
Ben Godfrey,77,65.0,77.57142857142860,76.5,10.0,66.5,46.5,64.0,183,79,23,22000000
Nadiem Amiri,77,83.5,72.57142857142860,50.0,12.0,69.16666666666670,68.375,78.0,180,77,24,15000000
Ellyes Skhiri,77,74.5,69.28571428571430,76.5,13.0,70.33333333333330,66.75,70.66666666666670,185,73,26,11500000
Mason Holgate,77,68.5,72.14285714285710,79.0,11.6,70.66666666666670,47.25,74.0,184,75,24,13000000
Gaetano Castrovilli,77,82.5,73.57142857142860,67.0,12.6,71.33333333333330,56.875,77.33333333333330,179,72,24,15000000
Orbelín Pineda,77,77.5,78.71428571428570,64.0,11.2,69.16666666666670,64.375,71.66666666666670,169,63,25,14000000
Jérémie Boga,77,81.5,76.14285714285710,33.0,12.4,62.833333333333300,67.875,73.33333333333330,174,72,24,16500000
Jordan Larsson,77,79.0,78.28571428571430,21.5,12.0,68.16666666666670,73.875,72.0,175,68,24,21500000
Joachim Andersen,77,60.0,63.857142857142900,77.5,11.6,66.33333333333330,49.25,64.66666666666670,192,90,25,12500000
Paul Bernardoni,77,20.5,41.0,14.0,76.8,35.333333333333300,21.75,21.333333333333300,190,78,24,13000000
Valentin Rongier,77,77.5,75.57142857142860,78.0,9.8,75.0,65.0,76.0,172,70,26,13500000
Jonas Omlin,77,29.0,52.142857142857100,20.5,75.8,39.833333333333300,24.125,34.666666666666700,189,80,27,11000000
Petros,77,76.0,73.42857142857140,71.5,12.4,77.5,63.375,72.33333333333330,181,77,32,8500000
Dani Ceballos,77,83.0,66.28571428571430,68.0,12.6,74.83333333333330,64.375,77.0,179,68,25,14500000
Harry Winks,77,79.0,67.85714285714290,74.5,11.2,75.16666666666670,58.75,75.66666666666670,176,74,25,12500000
Unai López,77,79.0,77.0,70.5,12.4,73.5,66.375,77.33333333333330,170,69,25,14500000
Breel Embolo,77,75.5,77.14285714285710,51.5,9.0,71.0,68.0,69.66666666666670,187,88,24,16000000
Mislav Oršić,77,74.5,80.0,56.5,11.2,67.33333333333330,77.375,70.0,179,69,28,10500000
Saïd Benrahma,77,81.5,70.28571428571430,38.5,10.6,65.16666666666670,67.75,71.0,172,67,26,14000000
Mattia de Oliveira Andrade,77,80.5,70.28571428571430,58.5,11.6,71.83333333333330,64.25,76.33333333333330,177,63,26,14000000
Hassane Kamara,77,74.0,82.14285714285710,72.5,11.0,72.33333333333330,54.875,71.0,168,67,27,11000000
Juan Dinenno,77,70.5,68.85714285714290,20.0,10.8,59.0,71.25,54.0,186,83,27,12500000
K. Campos,77,66.0,71.85714285714290,75.5,11.6,66.16666666666670,43.5,71.33333333333330,176,69,29,9500000
Luca Waldschmidt,77,75.5,71.85714285714290,26.0,11.2,62.666666666666700,74.0,67.66666666666670,181,74,25,15500000
Jeremías Conan Ledesma,77,14.0,50.142857142857100,13.0,75.2,34.166666666666700,21.5,25.0,186,83,28,9500000
Gonzalo Escalante,77,73.0,69.57142857142860,75.0,10.4,74.83333333333330,63.625,74.33333333333330,182,76,28,10000000
Guillermo Maripán,77,53.0,49.857142857142900,78.5,10.8,64.33333333333330,41.0,60.333333333333300,193,83,27,11000000
Matt Targett,77,73.0,69.14285714285710,74.5,11.6,67.16666666666670,54.875,73.33333333333330,183,70,26,13000000
Théo Bongonda,77,82.5,76.0,31.5,11.6,65.5,67.125,70.33333333333330,177,73,25,13000000
José Luis Palomino,77,60.0,54.42857142857140,78.5,10.6,62.333333333333300,43.375,62.0,188,87,31,7000000
Maximilian Philipp,77,80.0,72.42857142857140,43.5,9.8,61.833333333333300,72.875,68.66666666666670,183,79,27,12500000
Stanislav Lobotka,77,79.5,72.14285714285710,72.5,12.0,69.33333333333330,57.625,76.33333333333330,170,64,26,13500000
Ihlas Bebou,77,79.5,78.57142857142860,30.5,11.0,61.666666666666700,67.125,67.0,185,80,27,11500000
Bartłomiej Drągowski,77,19.0,46.0,18.0,75.8,42.333333333333300,20.125,28.666666666666700,188,74,24,12000000
